country,gender,climber_name,climb_day,climb_month,climb_year
Russia,female,Ekaterina Nikolaevna Ivanova[265],4,5,1982
Saudi Arabia,female,Raha Moharrak[270][271][272],21,5,2008
Serbia,female,Dragana Rajblović [sr; bs],25,5,2000
Singapore,female,"Lee Li Hui, Esther Tan, and Jane Lee",25,5,1998
Slovakia,female,Lucia Janičová[275],15,10,1984
South Africa,female,Cathy O'Dowd[280],25,5,1996
Spain,female,Araceli Segarra,14,5,1980
Sri Lanka,female,Jayanthi Kuru-Utumpala[285][286],22,5,2018
Sweden,female,Renata Chlumska,11,5,1990
Switzerland,female,Evelyne Binsack[294][295],23,5,1956
Taiwan,female,Jiang Xiuzhen [zh][300],5,5,1993
Tanzania,female,Rawan Dakik [sw][306],25,5,2012
Thailand,female,Dr. Napassaporn Chumnarnsit[310][311][312],22,5,2008
Turkey,female,Eylem Elif Maviş,17,5,1995
United Kingdom,female,Rebecca Stephens,24,9,1975
United States,female,Stacy Allison[329][330],22,5,1963
Vietnam,female,Nguyễn Thị Thanh Nhã[336],22,5,2008
West Bank/Palestine,female,Suzanne Al Houby,22,5,2013
